Borough,lat,lng,name,categori,venue_lat,vanue_lng,distance
Barking and Dagenham ,51.57478000110703,0.17440997072236541,Aroma,Indian Restaurant,51.57708953989286,0.17799675464630127,357
Barking and Dagenham ,51.57478000110703,0.17440997072236541,Indian Spice & Grill,Indian Restaurant,51.5761627404005,0.18338799476623532,639
Barking and Dagenham ,51.57478000110703,0.17440997072236541,Taj Mahal,Indian Restaurant,51.574371,0.184253,682
Barking and Dagenham ,51.57478000110703,0.17440997072236541,Delhi Live,Indian Restaurant,51.574608,0.185732,783
Barking and Dagenham ,51.57478000110703,0.17440997072236541,Asia Spice,Indian Restaurant,51.574758,0.18647,834
Barking and Dagenham ,51.57478000110703,0.17440997072236541,Bekash,Indian Restaurant,51.57503549993377,0.1870432675194142,874
Barking and Dagenham ,51.57478000110703,0.17440997072236541,Spice Aiza,Indian Restaurant,51.575066,0.18710119,878
Barking and Dagenham ,51.57478000110703,0.17440997072236541,Indian Ocean,Indian Restaurant,51.56581733055154,0.17781246423096095,1025
Barking and Dagenham ,51.57478000110703,0.17440997072236541,Cosmo,Restaurant,51.575445088587436,0.18045558717289273,424
Barnet,51.52709498993603,-0.06682570396320542,Dishoom,Indian Restaurant,51.524514821853664,-0.0768497140891246,751
Barnet,51.52709498993603,-0.06682570396320542,Gunpowder,Indian Restaurant,51.518436325253475,-0.0747323376373174,1108
Barnet,51.52709498993603,-0.06682570396320542,Meraz Cafe,Indian Restaurant,51.520256,-0.071085,816
Barnet,51.52709498993603,-0.06682570396320542,Al Amin,Indian Restaurant,51.53294692095182,-0.05726522306541883,928
Barnet,51.52709498993603,-0.06682570396320542,Tayyabs,North Indian Restaurant,51.5172403,-0.0634757,1121
Barnet,51.52709498993603,-0.06682570396320542,Lahore One,Indian Restaurant,51.51472527714818,-0.05939866665757108,1469
Barnet,51.52709498993603,-0.06682570396320542,Tifinbox,Indian Restaurant,51.51634524607388,-0.07719514759508633,1395
Barnet,51.52709498993603,-0.06682570396320542,Cafe Spice Namaste,Indian Restaurant,51.51148456888737,-0.07069308621645129,1758
Barnet,51.52709498993603,-0.06682570396320542,Needoo Grill,Indian Restaurant,51.5170700412192,-0.062379116765590076,1157
Barnet,51.52709498993603,-0.06682570396320542,Zaza's,Indian Restaurant,51.518066279080806,-0.06434022002480312,1019
Barnet,51.52709498993603,-0.06682570396320542,Dosa World,South Indian Restaurant,51.520245,-0.07135816,824
Barnet,51.52709498993603,-0.06682570396320542,Mint Leaf Lounge,Indian Restaurant,51.51493452381513,-0.08746138288923423,1968
Barnet,51.52709498993603,-0.06682570396320542,Rōla Wala,Indian Restaurant,51.519007,-0.077285,1155
Barnet,51.52709498993603,-0.06682570396320542,Anokha,Indian Restaurant,51.51375482882119,-0.07923020156645716,1715
Barnet,51.52709498993603,-0.06682570396320542,Dil Chad,Indian Restaurant,51.518094668269605,-0.07857112073400885,1290
Barnet,51.52709498993603,-0.06682570396320542,Cinnamon Kitchen,Indian Restaurant,51.51700322691418,-0.07848810502139172,1383
Barnet,51.52709498993603,-0.06682570396320542,Brick Lane Brasserie,Indian Restaurant,51.51985759,-0.07194763,880
Barnet,51.52709498993603,-0.06682570396320542,Khushbu Grill House,Indian Restaurant,51.51617375951453,-0.069602191963501,1230
Barnet,51.52709498993603,-0.06682570396320542,Halal Restaurant,Indian Restaurant,51.513429,-0.071699,1558
